input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,combined_score,notes
Hugo Varsi,0.0,Hugo VARSI,1.0,https://utmb.world/runner/818703.hugo.varsi,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Léo Minne,,,,,,,,,0.0,UTMB not found; ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403; /api/runner/find HTTP 403; /api/runner/findByName HTTP 403
Quentin JAROS,0.0,Quentin JAROS,1.0,https://utmb.world/runner/4844562.quentin.jaros,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
GABRIEL SAMSON,,,,,,,,,0.0,UTMB not found; ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403
Nicolas Grond,,,,,,,,,0.0,UTMB not found; ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403
benoit girardin,,,,,,,,,0.0,UTMB not found; ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403
Hippolyte Kourtessis,,,,,,,,,0.0,UTMB not found; ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403 (stopped after 8 consecutive failures)
Jonathan BADO,,,,,,,,,0.0,UTMB not found; ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403 (stopped after 8 consecutive failures)
Alexis Guenand,,,,,,,,,0.0,UTMB not found; ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403 (stopped after 8 consecutive failures)
David Laget,0.0,David LAGET,1.0,https://utmb.world/runner/9806.david.laget,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Farrid RABAHI,0.0,Farrid RABAHI,1.0,https://utmb.world/runner/28664.farrid.rabahi,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
louis cardon,0.0,Louis CARDON,1.0,https://utmb.world/runner/4609868.louis.cardon,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
MICKAEL DERRIEN,0.0,Mickael DERRIEN,1.0,https://utmb.world/runner/8229980.mickael.derrien,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Laureen Pinto,,,,,,,,,0.0,UTMB not found; ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403 (stopped after 8 consecutive failures)
Gonzague de Villemagne,0.0,Gonzague DE VILLEMAGNE,1.0,https://utmb.world/runner/4535150.gonzague.devillemagne,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Maxime Volkov,,,,,,,,,0.0,UTMB not found; ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403 (stopped after 8 consecutive failures)
Jules André--Salvat,0.0,Jules ANDRE SALVAT,1.0,https://utmb.world/runner/7060470.jules.andre--salvat,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Nicolas Commarieu,0.0,Nicolas COMMARIEU,1.0,https://utmb.world/runner/2989699.nicolas.commarieu,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
sébastien fossier,,,,,,,,,0.0,UTMB not found; ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403 (stopped after 8 consecutive failures)
